x, y, z
-0.061069, -0.549618, -0.061069
-0.061069, 0.503817, -0.015267
-0.122137, 0.167939, -0.122137
-0.091603, -0.564885, 0.061069
-0.167939, 0.305344, -0.122137
-0.106870, 0.122137, -0.122137
-0.061069, -0.519084, -0.030534
-0.030534, 0.244275, -0.076336
-0.076336, 0.335878, -0.015267
-0.045802, -0.625954, -0.076336
0.030534, 0.106870, 0.045802
0.122137, 0.519084, 0.000000
-0.152672, -0.488550, 0.137405
0.000000, 0.152672, 0.045802
-0.015267, 0.656489, -0.076336
0.015267, -0.305344, -0.122137
0.000000, -0.259542, -0.015267
0.122137, 0.488550, 0.076336
-0.015267, -0.290076, -0.061069
-0.167939, -0.229008, 0.122137
0.000000, 0.519084, 0.076336
0.091603, -0.305344, -0.061069
-0.091603, -0.381679, 0.122137
-0.045802, 0.244275, -0.061069
-0.045802, -0.122137, 0.045802
-0.061069, -0.167939, 0.122137
0.076336, 0.381679, 0.091603
-0.091603, 0.015267, 0.061069
-0.122137, -0.412214, 0.000000
0.137405, 0.229008, -0.061069
0.854962, -0.137405, -0.137405
0.793893, 0.396947, -0.152672
-0.091603, -0.061069, -0.473282
0.137405, -0.061069, 0.030534
-0.076336, -2.610687, 0.290076
0.015267, 1.618321, -0.274809
0.564885, -0.229008, 0.366412
-0.412214, -2.366412, -0.183206
-0.229008, 1.099237, -0.229008
-0.595420, -0.274809, 0.198473
0.244275, -0.458015, -0.717557
-0.595420, -1.236641, 0.809160
0.122137, 0.824427, -0.458015
0.229008, -0.580153, -0.030534
-0.610687, -1.969466, 0.351145
1.206107, -1.480916, -0.366412
-0.488550, -2.045802, -1.404580
2.854962, -0.244275, 0.839695
2.641221, -0.427481, -0.045802
2.396947, 0.687023, -1.007634
5.877862, -1.816794, -2.442748
2.106870, 0.442748, -2.290076
0.061069, -0.503817, -1.557252
2.366412, -1.404580, -0.809160
3.633588, -0.748092, 1.114504
6.870229, 0.702290, 2.396947
16.274809, -2.534351, 6.412214
27.343512, -2.427481, 11.221375
36.549618, -2.213740, 14.793893
51.435116, -4.717557, 15.923664
72.809158, 0.778626, 18.549618
102.061066, -1.847328, 16.961832
135.694656, 2.381679, 16.946566
169.221375, 5.511450, 15.832061
203.618317, 10.824428, 16.473282
235.358780, 23.190840, 18.702290
265.511444, 33.343510, 20.488550
297.511444, 48.458015, 22.045801
327.694672, 57.908398, 21.908398
355.297699, 65.770996, 21.251909
379.389313, 70.335876, 20.274809
396.763367, 73.236641, 19.129770
410.320618, 78.442749, 18.687023
415.755737, 78.198471, 18.091602
419.923676, 80.809158, 16.549618
422.198486, 81.557251, 12.244275
430.458008, 85.847328, 3.175573
439.587799, 93.587784, -8.045801
445.022888, 96.992363, -20.564886
450.946564, 93.175575, -36.488548
442.763367, 88.427483, -49.557251
426.442749, 82.167938, -60.152672
402.610687, 77.465652, -74.885498
385.435120, 69.404579, -87.618324
363.694672, 62.610687, -101.541985
338.564880, 51.236641, -114.122139
305.007629, 44.366413, -128.503815
263.145050, 28.259542, -128.687027
219.358780, 13.435115, -132.229004
176.931305, 0.824427, -135.770996
141.786255, -12.824428, -137.435120
101.312981, -25.221375, -136.595413
63.618320, -34.717556, -133.725189
18.381680, -49.297710, -127.938934
-28.351145, -48.458015, -118.931297
-86.687019, -55.908398, -102.061066
-142.015274, -51.832062, -86.519081
-200.335876, -54.671757, -70.198471
-248.458008, -59.832062, -49.770992
-303.755737, -62.473282, -42.412212
-350.809174, -68.503815, -32.366413
-396.488556, -78.687019, -25.083969
-441.129761, -90.351143, -16.259542
-479.679382, -103.526718, -5.679389
-500.274811, -119.984734, 3.526718
-500.274811, -123.938934, 1.190840
-500.274811, -152.412216, 4.152672
-500.274811, -172.167938, 7.236641
-500.274811, -192.442749, 9.725191
-500.274811, -205.083969, 21.343512
-500.274811, -158.488556, 22.992367
-500.274811, -239.847336, 14.534351
-500.274811, -255.694656, 23.938931
-500.274811, -275.175568, 31.221375
-500.274811, -292.320618, 40.595421
-500.274811, -298.671753, 48.625954
-500.274811, -302.992371, 57.511452
-500.274811, -302.671753, 67.389313
-500.274811, -299.526703, 76.000000
-481.648865, -288.763367, 85.679390
-464.946564, -272.366425, 95.557251
-442.503815, -248.839691, 103.358780
-412.244263, -213.633591, 110.351143
-376.229004, -179.312973, 116.671753
-343.679382, -137.603058, 119.572517
-313.145050, -95.419846, 119.496185
-280.977112, -53.770992, 119.129768
-245.358780, -14.931297, 118.625954
-212.076340, 20.152672, 116.198471
-181.236649, 57.664124, 118.259544
-157.664124, 93.587784, 123.862595
-144.839691, 131.435120, 129.297714
-139.267181, 164.580154, 135.190842
-134.870224, 193.770996, 139.603058
-126.961830, 215.526718, 140.732819
-118.580154, 233.557251, 140.351151
-109.862595, 250.305344, 139.893127
-105.297707, 269.145050, 139.053436
-100.274811, 291.557251, 138.748093
-90.763359, 314.122131, 137.114502
-71.816795, 337.679382, 133.908401
-50.320610, 360.198486, 129.389313
-30.061069, 379.709930, 126.473282
-13.267176, 395.664124, 127.664124
5.679389, 408.473297, 132.763351
23.709923, 419.175568, 142.549622
42.854961, 427.938934, 153.603058
65.007637, 431.633575, 166.290070
87.450378, 426.229004, 175.938934
108.564888, 411.312988, 185.358780
128.351151, 396.580139, 193.328247
144.458008, 368.442749, 198.305344
164.045807, 311.465637, 201.923660
182.335876, 304.946564, 211.297714
195.297714, 268.625946, 221.770996
210.732819, 239.816788, 236.305344
232.396942, 227.725189, 254.351151
256.519073, 201.251907, 272.748077
282.824432, 189.419846, 294.137390
305.648865, 174.961838, 316.916016
324.061066, 157.236649, 341.404572
336.366425, 135.633591, 362.458008
344.946564, 121.328247, 382.488556
351.099243, 89.358780, 396.580139
360.534363, 66.732826, 403.374054
366.687012, 36.259541, 406.931305
371.221375, 11.038168, 408.473297
371.297699, -14.564885, 408.091614
365.923676, -39.847328, 407.083984
355.068695, -60.656490, 404.580139
340.534363, -83.221375, 398.656494
325.007629, -104.122139, 389.419861
